iter	Passed	Remaining
777	12338	3520
778	12350	3503
779	12369	3488
780	12384	3472
781	12399	3456
782	12417	3441
783	12432	3425
784	12448	3409
785	12463	3393
786	12476	3376
787	12491	3360
788	12504	3344
789	12517	3327
790	12531	3311
791	12544	3294
792	12557	3277
793	12569	3261
794	12586	3245
795	12599	3229
796	12613	3212
797	12629	3197
798	12644	3180
799	12659	3164
800	12674	3148
801	12688	3132
802	12705	3116
803	12719	3100
804	12733	3084
805	12749	3068
806	12763	3052
807	12777	3036
808	12791	3019
809	12809	3004
810	12824	2988
811	12842	2973
812	12856	2957
813	12870	2940
814	12884	2924
815	12899	2908
816	12912	2892
817	12925	2875
818	12939	2859
819	12952	2843
820	12966	2827
821	12978	2810
822	12991	2793
823	13004	2777
824	13019	2761
825	13031	2745
826	13044	2728
827	13061	2713
828	13074	2696
829	13090	2681
830	13106	2665
831	13121	2649
832	13135	2633
833	13150	2617
834	13164	2601
835	13177	2585
836	13191	2568
837	13204	2552
838	13217	2536
839	13232	2520
840	13245	2504
841	13259	2488
842	13274	2472
843	13289	2456
844	13303	2440
845	13318	2424
846	13331	2408
847	13347	2392
848	13363	2376
849	13380	2361
850	13396	2345
851	13409	2329
852	13423	2313
853	13437	2297
854	13451	2281
855	13468	2265
856	13486	2250
857	13502	2234
858	13517	2218
859	13531	2202
860	13546	2187
861	13563	2171
862	13578	2155
863	13592	2139
864	13606	2123
865	13620	2107
866	13633	2091
867	13649	2075
868	13661	2059
869	13674	2043
870	13690	2027
871	13706	2011
872	13721	1996
873	13737	1980
874	13759	1965
875	13776	1950
876	13792	1934
877	13808	1918
878	13825	1903
879	13840	1887
880	13867	1873
881	13886	1857
882	13903	1842
883	13919	1826
884	13934	1810
885	13951	1795
886	13966	1779
887	13982	1763
888	13995	1747
889	14011	1731
890	14024	1715
891	14037	1699
892	14049	1683
893	14061	1667
894	14074	1651
895	14090	1635
896	14104	1619
897	14119	1603
898	14137	1588
899	14154	1572
900	14170	1557
901	14185	1541
902	14205	1526
903	14222	1510
904	14239	1494
905	14254	1478
906	14266	1462
907	14280	1446
908	14294	1431
909	14306	1414
910	14327	1399
911	14345	1384
912	14365	1368
913	14385	1353
914	14405	1338
915	14420	1322
916	14437	1306
917	14451	1290
918	14465	1274
919	14479	1259
920	14494	1243
921	14511	1227
922	14526	1211
923	14551	1196
924	14567	1181
925	14586	1165
926	14606	1150
927	14623	1134
928	14645	1119
